name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Johnny Walker,21,7,0,198.12,92.99,208.28,Orthodox,3.87,56.0,2.64,45.0,0.5,100.0,57.0,1.0,32
Nick Osipczak,6,3,0,187.96,77.11,193.04,Orthodox,2.83,50.0,3.77,50.0,1.2,45.0,71.0,1.0,40
Jonavin Webb,9,2,0,177.8,77.11,177.8,Orthodox,1.47,30.0,2.27,64.0,2.5,31.0,40.0,1.0,35
Brian Schwartz,1,1,0,190.5,77.11,190.5,Orthodox,1.27,44.0,0.87,45.0,0.0,0.0,50.0,1.0,38
Eddie Yagin,16,7,1,170.18,65.77,170.18,Orthodox,3.13,30.0,5.77,42.0,0.0,0.0,62.0,1.0,46
Karo Parisyan,24,11,0,177.8,77.11,182.88,Orthodox,2.49,41.0,2.19,58.0,5.27,59.0,59.0,1.0,42
Marco Tulio,10,1,0,182.88,83.91,187.96,Orthodox,3.2,48.0,2.2,52.0,2.0,25.0,0.0,1.0,30
Carlos Mota,8,2,0,162.56,56.7,175.26,Orthodox,0.8,41.0,1.13,54.0,0.0,0.0,50.0,1.0,29
Charles Rosa,14,8,0,175.26,65.77,175.26,Switch,3.08,36.0,3.86,47.0,1.67,35.0,38.0,1.0,38
Bobby Cooper,12,7,0,185.42,70.31,185.42,Orthodox,2.87,25.0,3.4,59.0,0.0,0.0,40.0,1.0,38
Nayara Maia,7,1,1,165.1,56.7,167.64,Orthodox,0.6,36.0,3.33,43.0,1.0,33.0,0.0,1.0,34
Oscar Cota,11,3,0,182.88,104.33,182.88,Orthodox,0.33,41.0,2.47,41.0,0.0,0.0,60.0,1.0,40
Gabrielle Holloway,6,5,0,160.02,65.77,160.02,Orthodox,0.7,42.0,3.07,34.0,3.0,35.0,16.0,1.0,38
Erik Koch,16,6,0,177.8,77.11,180.34,Southpaw,2.33,42.0,2.82,47.0,1.02,42.0,81.0,1.0,36
Anthony Rocco Martin,17,6,0,182.88,77.11,185.42,Orthodox,2.68,37.0,2.59,58.0,0.71,27.0,68.0,1.0,35
Gilbert Urbina,7,3,0,190.5,77.11,190.5,Orthodox,6.33,60.0,4.09,47.0,3.96,50.0,0.0,1.0,28
Sam Watford,2,2,0,178.23432467873064,70.31,180.70495018353435,Orthodox,0.13,18.0,0.73,62.0,2.0,40.0,60.0,1.0,38
Dylan Budka,7,2,0,182.88,83.91,190.5,Switch,1.47,66.0,0.73,52.0,2.0,28.0,100.0,1.0,25
Kaleio Romero,6,2,0,177.8,65.77,175.26,Switch,2.6,48.0,3.27,50.0,1.0,8.0,0.0,1.0,28
Cameron Church,4,1,0,180.34,70.31,182.88,Orthodox,4.0,40.0,4.93,50.0,0.0,0.0,60.0,1.0,34
Anton Berzin,5,1,0,187.96,92.99,187.96,Orthodox,4.4,46.0,6.8,67.0,2.0,28.0,0.0,1.0,35
Jason Gonzalez,11,5,0,187.96,70.31,187.96,Southpaw,3.06,39.0,3.13,58.0,0.0,0.0,30.0,1.0,35
Manny Vazquez,11,2,0,177.8,56.7,182.88,Orthodox,1.47,41.0,2.67,48.0,1.0,33.0,0.0,1.0,31
