name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,strike_differential,win_percentage,weight_class
Ron Sparks,8,3,0,195.58,120.2,195.58,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.7272727272727273,Light Heavyweight
Zac Pauga,7,2,0,187.96,92.99,193.04,Orthodox,4.44,62.0,2.72,57.0,0.42,9.0,100.0,0.0,37,1.7200000000000002,0.7777777777777778,Light Heavyweight
Amber Tackett,1,3,0,178.23432467873064,52.16,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.25,Flyweight
Dimitiri Wanderley,5,2,0,178.23432467873064,92.99,180.70495018353435,Orthodox,0.92,25.0,4.31,30.0,1.16,20.0,0.0,0.0,38,-3.3899999999999997,0.7142857142857143,Light Heavyweight
Henrique Da Silva Lopes,5,2,0,190.5,108.86,190.5,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.7142857142857143,Light Heavyweight
Virgil Zwicker,15,6,1,187.96,92.99,187.96,Orthodox,3.34,48.0,4.87,39.0,1.31,30.0,50.0,0.0,38,-1.5300000000000002,0.6818181818181818,Light Heavyweight
Wade Shipp,11,5,0,190.5,111.13,190.5,Orthodox,4.29,86.0,2.14,0.0,0.0,0.0,75.0,0.0,50,2.15,0.6875,Light Heavyweight
Mike Easton,13,6,0,167.64,61.23,177.8,Southpaw,3.51,37.0,4.28,61.0,0.75,22.0,66.0,0.0,41,-0.7700000000000005,0.6842105263157895,Bantamweight
Marnic Mann,6,2,0,152.4,52.16,162.56,Southpaw,1.1,42.0,4.93,31.0,1.83,30.0,16.0,0.0,32,-3.8299999999999996,0.75,Flyweight
Eldo Xavier Dias,0,1,0,180.34,81.65,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,Welterweight
Claudionor Fontinelle,10,15,1,165.1,83.91,165.1,Orthodox,2.62,42.0,10.25,28.0,0.0,0.0,0.0,0.0,38,-7.63,0.38461538461538464,Middleweight
Victor Valimaki,18,10,0,182.88,92.99,182.88,Orthodox,3.94,30.0,2.99,67.0,0.9,14.0,0.0,0.0,38,0.9499999999999997,0.6428571428571429,Light Heavyweight
Gisele Moreira,8,3,0,167.64,61.23,167.64,Orthodox,5.93,42.0,6.33,48.0,4.0,57.0,0.0,0.0,44,-0.40000000000000036,0.7272727272727273,Bantamweight
Coltin Cole,4,5,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.4444444444444444,Middleweight
Kenny Giddens,12,7,0,180.34,70.31,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.631578947368421,Lightweight
Andrew Montanez,9,12,1,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.4090909090909091,Middleweight
Darian Weeks,5,3,0,180.34,77.11,182.88,Orthodox,4.49,51.0,4.56,51.0,2.0,30.0,100.0,0.0,31,-0.0699999999999994,0.625,Welterweight
Louis Taylor,13,4,0,180.34,83.91,180.34,Orthodox,2.06,32.0,1.24,68.0,2.48,28.0,100.0,0.0,46,0.8200000000000001,0.7647058823529411,Middleweight
Vitor Vianna,12,3,1,178.23432467873064,92.99,180.70495018353435,Orthodox,3.1,30.0,8.28,52.0,0.0,0.0,0.0,0.0,38,-5.18,0.75,Light Heavyweight
Idris Wasi,2,14,0,182.88,84.37,182.88,Orthodox,0.4,31.0,3.53,46.0,0.0,0.0,20.0,0.0,38,-3.13,0.125,Middleweight
