name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,strike_differential,win_percentage,weight_class
Robert Drysdale,7,0,0,190.5,92.99,190.5,Orthodox,0.0,0.0,0.0,0.0,7.32,100.0,0.0,21.9,43,0.0,1.0,Light Heavyweight
Daniel McWilliams,15,37,0,185.42,83.91,185.42,Orthodox,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,38,3.36,0.28846153846153844,Middleweight
Dan Molina,13,9,0,177.8,97.98,177.8,Orthodox,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,38,-5.58,0.5909090909090909,Light Heavyweight
Paul Ruiz,7,4,0,167.64,61.23,167.64,Orthodox,1.4,33.0,1.4,75.0,0.0,0.0,100.0,20.9,38,0.0,0.6363636363636364,Bantamweight
Collin Huckbody,8,2,0,190.5,83.91,193.04,Orthodox,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,30,-0.6800000000000002,0.8,Middleweight
Gerald Strebendt,9,7,0,175.26,70.31,175.26,Orthodox,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4,46,-4.0,0.5625,Lightweight
Isaiah Hill,5,7,1,177.8,70.31,177.8,Orthodox,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,38,3.87,0.38461538461538464,Lightweight
Kenneth Seegrist,4,7,0,182.88,83.91,182.88,Orthodox,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,38,1.93,0.36363636363636365,Middleweight
Will Kerr,9,3,0,177.8,70.31,175.26,Orthodox,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,42,-4.31,0.75,Lightweight
Neil Grove,12,8,1,198.12,120.2,198.12,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.3,54,0.0,0.5714285714285714,Light Heavyweight
Raphael Butler,9,2,1,190.5,118.39,190.5,Orthodox,4.69,45.0,0.94,91.0,0.0,0.0,100.0,14.1,38,3.7500000000000004,0.75,Light Heavyweight
Bo Nickal,5,0,0,185.42,83.91,193.04,Southpaw,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,29,2.21,1.0,Middleweight
Ian Entwistle,9,3,0,165.1,61.23,165.1,Orthodox,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,38,-7.25,0.75,Bantamweight
Megumi Fujii,26,3,0,160.02,51.26,160.02,Orthodox,2.4,42.0,0.0,100.0,0.0,0.0,0.0,12.0,38,2.4,0.896551724137931,Flyweight
Gaston Reyno,6,2,0,182.88,65.77,182.88,Orthodox,7.79,62.0,3.9,44.0,0.0,0.0,0.0,11.7,38,3.89,0.75,Featherweight
Kenny Ento,14,15,0,187.96,87.09,187.96,Orthodox,8.41,79.0,0.0,100.0,5.49,100.0,0.0,11.0,38,8.41,0.4827586206896552,Middleweight
AJ McKee,8,0,0,177.8,65.77,177.8,Orthodox,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0,38,1.83,1.0,Featherweight
Westin Wilson,16,8,0,185.42,65.77,185.42,Southpaw,1.38,50.0,7.59,26.0,0.0,0.0,0.0,10.3,36,-6.21,0.6666666666666666,Featherweight
Philip Perez,7,5,1,165.1,70.31,165.1,Southpaw,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,38,0.68,0.5384615384615384,Lightweight
Brandon Shuey,7,6,0,170.18,70.31,170.18,Orthodox,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,49,-0.68,0.5384615384615384,Lightweight
Dave Phillips,13,7,0,182.88,83.91,182.88,Orthodox,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,45,-2.0,0.65,Middleweight
Johnny Sampaio,3,1,0,172.72,77.11,172.72,Orthodox,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,49,-1.32,0.75,Welterweight
Dione Barbosa,6,2,0,167.64,56.7,167.64,Orthodox,0.87,50.0,0.65,66.0,3.27,100.0,0.0,9.8,33,0.21999999999999997,0.75,Flyweight
Zach Reese,6,1,0,193.04,83.91,195.58,Switch,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,31,-2.6299999999999994,0.8571428571428571,Middleweight
Rodrigo Gripp de Sousa,7,9,0,180.34,92.99,180.34,Orthodox,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,38,-4.33,0.4375,Light Heavyweight
Justin Burlinson,6,1,0,185.42,77.11,187.96,Switch,1.24,40.0,3.09,61.0,0.0,0.0,100.0,9.3,27,-1.8499999999999999,0.8571428571428571,Welterweight
Poppies Martinez,29,11,0,175.26,65.77,175.26,Orthodox,2.88,50.0,2.16,51.0,1.54,33.0,50.0,9.2,38,0.7199999999999998,0.725,Featherweight
Josh Rafferty,9,8,0,182.88,77.11,182.88,Orthodox,0.6,33.0,3.6,50.0,0.0,0.0,0.0,9.0,44,-3.0,0.5294117647058824,Welterweight
Daniel Puder,8,0,0,190.5,106.59,190.5,Orthodox,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,43,1.6,1.0,Light Heavyweight
Yukio Sakaguchi,6,7,0,175.26,83.91,175.26,Orthodox,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,51,-2.1,0.46153846153846156,Middleweight
Magomed Sultanakhmedov,18,6,0,187.96,83.91,187.96,Southpaw,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,38,-2.4,0.75,Middleweight
Jeff Newton,4,2,0,187.96,92.99,187.96,Sideways,0.28,20.0,1.41,52.0,0.0,0.0,0.0,8.5,58,-1.13,0.6666666666666666,Light Heavyweight
Emiliano Sordi,16,7,0,187.96,92.99,187.96,Orthodox,4.79,50.0,4.79,48.0,0.0,0.0,100.0,8.3,34,0.0,0.6956521739130435,Light Heavyweight
Erik Apple,10,3,0,182.88,77.11,182.88,Orthodox,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,47,-0.54,0.7692307692307693,Welterweight
Fazlo Mulabitinovic,4,2,0,178.23432467873064,61.23,180.70495018353435,Orthodox,0.54,16.0,0.0,100.0,0.0,0.0,0.0,8.0,38,0.54,0.6666666666666666,Bantamweight
J.T Taylor,7,7,0,177.8,77.39582504970178,177.8,Orthodox,3.17,80.0,3.7,26.0,3.96,100.0,0.0,7.9,38,-0.5300000000000002,0.5,Welterweight
Adam Meredith,5,3,0,187.96,77.11,187.96,Orthodox,2.63,50.0,2.11,55.0,7.89,100.0,100.0,7.9,38,0.52,0.625,Welterweight
Klayton Mai,8,3,0,175.26,56.7,175.26,Orthodox,1.53,42.0,1.02,63.0,3.83,100.0,0.0,7.7,38,0.51,0.7272727272727273,Flyweight
Ron Keslar,11,9,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,2.05,60.0,0.0,0.0,100.0,7.7,38,-2.05,0.55,Middleweight
Bobby McAndrews,1,3,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,38,1.53,0.25,Welterweight
Ansar Chalangov,14,5,0,175.26,77.11,175.26,Orthodox,0.68,66.0,1.69,54.0,0.0,0.0,0.0,7.6,45,-1.0099999999999998,0.7368421052631579,Welterweight
Jeremiah Constant,11,8,0,185.42,108.86,185.42,Orthodox,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,50,-1.75,0.5789473684210527,Light Heavyweight
Paul Sass,14,2,0,182.88,70.31,185.42,Orthodox,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,36,-1.3699999999999999,0.875,Lightweight
Eddy Millis,0,2,0,185.42,83.91,185.42,Orthodox,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,38,-3.36,0.0,Middleweight
James Lee,15,3,0,180.34,92.99,180.34,Southpaw,1.4,42.0,3.72,27.0,13.95,50.0,0.0,7.0,51,-2.3200000000000003,0.8333333333333334,Light Heavyweight
Mikhail Iloukhine,30,11,1,175.26,92.99,175.26,Orthodox,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,58,-2.79,0.7142857142857143,Light Heavyweight
Kyle Jensen,4,11,2,175.26,77.11,175.26,Orthodox,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,45,-0.92,0.23529411764705882,Welterweight
Ilya Kotau,1,2,0,178.23432467873064,77.11,180.70495018353435,Orthodox,3.94,40.0,4.38,44.0,6.57,100.0,100.0,6.6,38,-0.43999999999999995,0.3333333333333333,Welterweight
Trevor Harris,2,2,0,167.64,65.77,167.64,Orthodox,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,38,1.3,0.5,Featherweight
Jinnosuke Kashimura,4,2,0,170.18,70.31,180.34,Southpaw,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,23,-7.16,0.6666666666666666,Lightweight
Tom Erikson,9,4,1,190.5,127.01,190.5,Orthodox,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,38,-0.9300000000000002,0.6428571428571429,Heavyweight
Jason Black,23,4,1,172.72,70.31,172.72,Orthodox,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2,52,-1.54,0.8214285714285714,Lightweight
Francisco France,13,5,1,182.88,92.99,182.88,Orthodox,0.54,33.0,3.51,27.0,0.0,0.0,0.0,6.1,38,-2.9699999999999998,0.6842105263157895,Light Heavyweight
John Albert,6,5,0,172.72,61.23,172.72,Orthodox,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,38,0.22999999999999998,0.5454545454545454,Bantamweight
Daniel Swain,20,10,1,175.26,65.77,177.8,Orthodox,0.8,44.0,3.2,40.0,0.0,0.0,0.0,6.0,34,-2.4000000000000004,0.6451612903225806,Featherweight
Neiman Gracie,6,0,0,182.88,77.11,182.88,Orthodox,0.77,100.0,0.38,75.0,5.77,100.0,0.0,5.8,38,0.39,1.0,Welterweight
Shamil Gaziev,11,0,0,193.04,120.2,198.12,Orthodox,1.52,100.0,0.0,0.0,0.0,0.0,0.0,5.7,35,1.52,1.0,Light Heavyweight
Masakatsu Funaki,39,13,2,182.88,83.91,182.88,Southpaw,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5,56,-1.0999999999999999,0.7222222222222222,Middleweight
David Terrell,6,2,0,185.42,83.91,185.42,Southpaw,2.34,63.0,2.71,37.0,5.54,50.0,0.0,5.5,47,-0.3700000000000001,0.75,Middleweight
Rob MacDonald,5,4,0,190.5,92.99,198.12,Orthodox,1.8,50.0,2.04,46.0,7.19,80.0,80.0,5.4,46,-0.24,0.5555555555555556,Light Heavyweight
Nick Barnes,11,2,0,180.34,77.11,180.34,Orthodox,2.86,29.0,8.93,51.0,5.36,100.0,100.0,5.4,38,-6.07,0.8461538461538461,Welterweight
Matt Arroyo,3,3,0,177.8,77.11,182.88,Orthodox,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3,42,-0.3899999999999997,0.5,Welterweight
Diego Lopes,23,6,0,180.34,65.77,182.88,Orthodox,2.47,53.0,4.91,37.0,0.0,0.0,42.0,5.3,30,-2.44,0.7931034482758621,Featherweight
Colin Robinson,10,12,0,193.04,110.22,193.04,Orthodox,6.19,69.0,7.91,37.0,2.58,100.0,50.0,5.2,56,-1.7199999999999998,0.45454545454545453,Light Heavyweight
Nick Garcia,8,3,0,162.56,56.7,162.56,Orthodox,0.67,25.0,3.03,50.0,0.0,0.0,83.0,5.1,38,-2.36,0.7272727272727273,Flyweight
Justin Levens,10,7,0,180.34,83.91,180.34,Orthodox,1.24,47.0,3.15,37.0,1.69,50.0,33.0,5.1,45,-1.91,0.5882352941176471,Middleweight
Mike Ciesnolevicz,19,4,0,182.88,106.59,182.88,Orthodox,0.51,50.0,4.62,57.0,0.0,0.0,20.0,5.1,45,-4.11,0.8260869565217391,Light Heavyweight
Magno Almeida,10,3,0,182.88,70.31,182.88,Orthodox,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,38,-0.9300000000000002,0.7692307692307693,Lightweight
George Pacurariu,10,5,0,170.18,61.23,170.18,Orthodox,4.69,53.0,2.68,63.0,5.03,100.0,100.0,5.0,38,2.0100000000000002,0.6666666666666666,Bantamweight
Ronaldo Candido,6,0,0,167.64,56.7,167.64,Southpaw,1.67,42.0,3.87,52.0,8.0,53.0,0.0,5.0,36,-2.2,1.0,Flyweight
Alex Schoenauer,15,10,0,190.5,83.91,190.5,Orthodox,1.22,40.0,2.27,42.0,0.0,0.0,22.0,4.9,49,-1.05,0.6,Middleweight
Justin Guthrie,18,9,0,185.42,77.11,185.42,Orthodox,0.16,33.0,3.74,14.0,2.44,25.0,0.0,4.9,38,-3.58,0.6666666666666666,Welterweight
Billy Pasulatan,10,3,0,165.1,56.7,167.64,Switch,0.65,20.0,5.22,48.0,0.0,0.0,0.0,4.9,33,-4.569999999999999,0.7692307692307693,Flyweight
Aaron Ely,5,2,0,172.72,61.23,172.72,Orthodox,0.82,15.0,0.66,69.0,2.47,100.0,50.0,4.9,38,0.15999999999999992,0.7142857142857143,Bantamweight
Shohei Nose,10,4,2,167.64,61.23,172.72,Switch,2.48,40.0,3.61,53.0,3.23,17.0,0.0,4.8,27,-1.13,0.625,Bantamweight
TJ Waldburger,16,9,0,180.34,77.11,190.5,Orthodox,2.02,51.0,2.39,40.0,3.03,46.0,40.0,4.8,37,-0.3700000000000001,0.64,Welterweight
Ronda Rousey,12,2,0,170.18,61.23,167.64,Orthodox,4.17,52.0,4.14,44.0,6.26,68.0,50.0,4.8,38,0.03000000000000025,0.8571428571428571,Bantamweight
Nik Theotikos,6,2,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,5.48,19.0,0.0,0.0,0.0,4.8,38,-5.48,0.75,Middleweight
Valentijn Overeem,30,32,0,190.5,104.33,190.5,Orthodox,0.93,34.0,1.49,58.0,1.86,50.0,0.0,4.7,48,-0.5599999999999999,0.4838709677419355,Light Heavyweight
Keith Rockel,12,4,1,182.88,83.91,182.88,Orthodox,1.13,73.0,0.21,66.0,4.63,75.0,100.0,4.6,38,0.9199999999999999,0.7058823529411765,Middleweight
Mark Hughes,6,2,0,175.26,92.99,175.26,Southpaw,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,51,0.5,0.75,Light Heavyweight
Jimmy Flick,16,7,0,170.18,56.7,172.72,Orthodox,1.99,50.0,5.05,38.0,1.66,27.0,0.0,4.4,34,-3.0599999999999996,0.6956521739130435,Flyweight
Kaline Medeiros,8,5,0,160.02,52.16,160.02,Orthodox,2.06,70.0,0.29,83.0,4.41,100.0,0.0,4.4,38,1.77,0.6153846153846154,Flyweight
Takeru Uchida,6,1,0,165.1,56.7,172.72,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,22,0.0,0.8571428571428571,Flyweight
Joe Pearson,45,30,1,177.8,65.77,177.8,Orthodox,0.59,18.0,3.51,33.0,0.0,0.0,0.0,4.4,47,-2.92,0.5921052631578947,Featherweight
Jordan Bailey,6,3,0,175.26,65.77,175.26,Orthodox,1.74,40.0,0.29,0.0,4.35,100.0,0.0,4.3,38,1.45,0.6666666666666666,Featherweight
Branden Lee Hinkle,17,11,0,190.5,106.59,190.5,Orthodox,2.61,69.0,3.91,26.0,4.34,57.0,66.0,4.3,51,-1.3000000000000003,0.6071428571428571,Light Heavyweight
Goiti Yamauchi,21,3,0,177.8,65.77,177.8,Orthodox,1.66,54.0,1.01,66.0,0.0,0.0,0.0,4.3,38,0.6499999999999999,0.875,Featherweight
Masakatsu Okuda,8,5,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,4.27,34.0,0.0,0.0,0.0,4.3,38,-4.27,0.6153846153846154,Welterweight
Wayne Cole,16,25,0,185.42,92.99,185.42,Orthodox,0.57,20.0,8.33,27.0,4.31,25.0,0.0,4.3,38,-7.76,0.3902439024390244,Light Heavyweight
Jason Glaza,3,2,0,182.88,104.33,182.88,Orthodox,4.34,54.0,0.43,40.0,4.34,100.0,0.0,4.3,38,3.9099999999999997,0.6,Light Heavyweight
Bret Bergmark,6,1,1,175.26,77.11,175.26,Orthodox,2.78,52.0,2.78,37.0,4.17,100.0,50.0,4.2,38,0.0,0.75,Welterweight
Genki Sudo,15,4,2,175.26,70.31,175.26,Orthodox,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2,47,-0.6799999999999999,0.7142857142857143,Lightweight
Yasuhito Namekawa,25,16,4,175.26,92.99,175.26,Orthodox,0.14,50.0,3.65,38.0,2.11,25.0,0.0,4.2,50,-3.51,0.5555555555555556,Light Heavyweight
Sean McCorkle,17,7,0,200.66,120.2,205.74,Orthodox,0.85,44.0,2.48,52.0,2.12,40.0,33.0,4.2,48,-1.63,0.7083333333333334,Light Heavyweight
Jeremy Lang,21,2,0,180.34,92.99,180.34,Southpaw,1.13,50.0,1.41,42.0,4.22,60.0,0.0,4.2,50,-0.28,0.9130434782608695,Light Heavyweight
Rene Kronvold,5,1,0,172.72,77.11,172.72,Orthodox,0.82,100.0,2.47,60.0,0.0,0.0,66.0,4.1,38,-1.6500000000000004,0.8333333333333334,Welterweight
Victor Hugo,24,4,0,170.18,61.23,180.34,Orthodox,1.24,34.0,1.1,65.0,2.06,50.0,66.0,4.1,32,0.1399999999999999,0.8571428571428571,Bantamweight
Kain Royer,2,2,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,1.63,14.0,0.0,0.0,0.0,4.1,38,-1.63,0.5,Middleweight
Rousimar Palhares,19,8,0,172.72,77.11,180.34,Orthodox,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1,45,-0.29000000000000004,0.7037037037037037,Welterweight
Clay Mitchell,1,2,0,187.96,83.91,187.96,Orthodox,1.63,85.0,0.0,0.0,0.0,0.0,100.0,4.1,38,1.63,0.3333333333333333,Middleweight
Karine Silva,17,4,0,165.1,56.7,170.18,Orthodox,3.37,35.0,3.37,50.0,2.45,60.0,0.0,4.1,31,0.0,0.8095238095238095,Flyweight
Dustin Hazelett,12,7,0,185.42,77.11,193.04,Orthodox,2.24,40.0,3.51,46.0,0.55,50.0,25.0,4.1,39,-1.2699999999999996,0.631578947368421,Welterweight
HanSeul Kim,13,5,0,185.42,77.11,187.96,Southpaw,6.93,45.0,8.09,50.0,0.0,0.0,0.0,4.0,34,-1.1600000000000001,0.7222222222222222,Welterweight
Shinya Aoki,39,7,0,180.34,69.85,180.34,Southpaw,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0,42,-0.28,0.8478260869565217,Featherweight
Marcus Hicks,10,4,0,167.64,70.31,162.56,Southpaw,1.42,43.0,3.06,61.0,2.7,53.0,25.0,4.0,49,-1.6400000000000001,0.7142857142857143,Lightweight
Dan Evensen,11,4,0,190.5,113.4,190.5,Orthodox,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0,50,-3.59,0.7333333333333333,Light Heavyweight
Ralph Gracie,6,1,0,175.26,83.01,175.26,Orthodox,0.86,37.0,1.72,31.0,0.0,0.0,25.0,4.0,38,-0.86,0.8571428571428571,Welterweight
Charlie Kohler,8,4,1,175.26,70.31,175.26,Orthodox,0.81,33.0,4.31,46.0,0.0,0.0,0.0,4.0,48,-3.4999999999999996,0.6153846153846154,Lightweight
Alberto Crane,15,5,0,165.1,70.31,165.1,Orthodox,0.43,25.0,2.61,57.0,0.0,0.0,50.0,4.0,48,-2.1799999999999997,0.75,Lightweight
Mike Hayes,20,12,2,193.04,104.33,193.04,Orthodox,4.87,55.0,1.47,77.0,0.0,0.0,75.0,4.0,38,3.4000000000000004,0.5882352941176471,Light Heavyweight
Bruno Carvalho,10,5,0,172.72,69.85,172.72,Orthodox,0.6,45.0,0.93,53.0,0.0,0.0,66.0,4.0,38,-0.33000000000000007,0.6666666666666666,Featherweight
Steve Byrnes,6,1,0,182.88,77.11,182.88,Orthodox,1.2,51.0,2.67,27.0,3.0,60.0,0.0,4.0,38,-1.47,0.8571428571428571,Welterweight
Aliaskhab Khizriev,14,0,0,175.26,83.91,187.96,Southpaw,6.03,64.0,4.36,62.0,5.77,60.0,100.0,3.9,34,1.67,1.0,Middleweight
Torrez Finney,7,0,0,172.72,83.91,190.5,Orthodox,0.91,58.0,2.33,47.0,13.61,63.0,0.0,3.9,26,-1.42,1.0,Middleweight
Bill Mahood,20,7,1,190.5,90.72,190.5,Orthodox,1.54,85.0,3.59,17.0,0.0,0.0,0.0,3.9,58,-2.05,0.7142857142857143,Middleweight
Marius Enache,3,3,0,180.34,70.31,180.34,Orthodox,1.71,34.0,0.66,84.0,3.94,100.0,0.0,3.9,38,1.0499999999999998,0.5,Lightweight
Abongo Humphrey,7,3,0,180.34,92.99,180.34,Orthodox,1.45,40.0,3.83,46.0,1.41,37.0,33.0,3.8,38,-2.38,0.7,Light Heavyweight
Antonio Trocoli,12,3,0,195.58,92.99,208.28,Orthodox,1.27,71.0,4.56,25.0,3.8,100.0,100.0,3.8,34,-3.2899999999999996,0.8,Light Heavyweight
Hector Urbina,17,10,1,180.34,77.11,185.42,Orthodox,0.97,38.0,2.44,39.0,0.0,0.0,38.0,3.8,37,-1.47,0.6071428571428571,Welterweight
Gabriel Bonfim,15,1,0,185.42,77.11,182.88,Orthodox,4.87,40.0,5.25,59.0,4.75,71.0,100.0,3.8,27,-0.3799999999999999,0.9375,Welterweight
James Wilks,7,4,0,185.42,77.11,190.5,Orthodox,1.82,45.0,2.03,50.0,1.27,22.0,66.0,3.8,47,-0.20999999999999974,0.6363636363636364,Welterweight
Assu Almabayev,18,2,0,162.56,56.7,165.1,Orthodox,3.18,65.0,0.49,77.0,3.67,40.0,0.0,3.7,31,2.6900000000000004,0.9,Flyweight
Nyamjargal Tumendemberel,8,0,0,170.18,56.7,180.34,Orthodox,4.43,44.0,3.62,45.0,4.68,38.0,14.0,3.7,27,0.8099999999999996,1.0,Flyweight
Jaqueline Amorim,7,1,0,160.02,52.16,172.72,Orthodox,3.42,52.0,1.81,62.0,1.57,23.0,0.0,3.7,29,1.6099999999999999,0.875,Flyweight
HyunSung Park,8,0,0,170.18,56.7,167.64,Orthodox,3.51,48.0,2.62,59.0,2.23,30.0,100.0,3.7,29,0.8899999999999997,1.0,Flyweight
Igor Gracie,5,4,0,180.34,77.11,180.34,Orthodox,1.86,60.0,0.99,50.0,3.72,50.0,0.0,3.7,38,0.8700000000000001,0.5555555555555556,Welterweight
Brady Fink,2,3,0,182.88,83.01,182.88,Orthodox,1.69,41.0,1.69,61.0,3.63,25.0,0.0,3.6,38,0.0,0.4,Welterweight
Tatsuya Mizuno,16,12,1,185.42,92.99,185.42,Southpaw,2.25,37.0,3.52,53.0,1.19,25.0,40.0,3.6,43,-1.27,0.5517241379310345,Light Heavyweight
Per Eklund,14,5,1,177.8,70.31,182.88,Orthodox,2.07,61.0,2.38,67.0,2.07,11.0,50.0,3.6,38,-0.31000000000000005,0.7,Lightweight
Daisuke Nakamura,28,19,1,170.18,69.85,170.18,Orthodox,0.94,30.0,1.38,61.0,0.46,40.0,30.0,3.6,44,-0.43999999999999995,0.5833333333333334,Featherweight
Brennan Ward,14,5,0,177.8,77.11,180.34,Orthodox,7.2,60.0,2.76,52.0,0.0,0.0,100.0,3.6,38,4.44,0.7368421052631579,Welterweight
Ken Kaneko,0,3,0,182.88,73.03,182.88,Orthodox,0.0,0.0,0.94,42.0,0.0,0.0,0.0,3.5,38,-0.94,0.0,Lightweight
Rolando Delgado,11,6,1,190.5,70.31,195.58,Orthodox,1.56,40.0,1.83,62.0,1.17,22.0,0.0,3.5,43,-0.27,0.6111111111111112,Lightweight
Mike King,5,1,0,190.5,83.91,190.5,Orthodox,4.44,58.0,1.29,72.0,1.75,25.0,40.0,3.5,38,3.1500000000000004,0.8333333333333334,Middleweight
Kit Cope,6,7,0,182.88,77.11,182.88,Orthodox,1.18,52.0,2.12,35.0,0.0,0.0,50.0,3.5,48,-0.9400000000000002,0.46153846153846156,Welterweight
Chris Sanford,5,1,0,180.34,83.91,180.34,Orthodox,0.23,50.0,3.22,17.0,0.0,0.0,0.0,3.5,57,-2.99,0.8333333333333334,Middleweight
Junie Browning,5,6,0,175.26,70.31,175.26,Orthodox,3.76,48.0,1.76,66.0,3.53,66.0,0.0,3.5,41,1.9999999999999998,0.45454545454545453,Lightweight
Preston Parsons,10,4,0,180.34,77.11,180.34,Orthodox,4.14,56.0,3.76,49.0,3.11,33.0,100.0,3.5,29,0.3799999999999999,0.7142857142857143,Welterweight
Mike Budnik,13,4,0,175.26,65.77,172.72,Orthodox,0.65,52.0,0.95,53.0,0.0,0.0,0.0,3.4,50,-0.29999999999999993,0.7647058823529411,Featherweight
Zhang Tiequan,15,4,0,172.72,70.31,175.26,Orthodox,1.23,36.0,2.14,51.0,1.95,58.0,75.0,3.4,46,-0.9100000000000001,0.7894736842105263,Lightweight
Shannon Gugerty,15,7,0,177.8,70.31,180.34,Orthodox,1.25,39.0,1.88,58.0,2.13,27.0,50.0,3.4,43,-0.6299999999999999,0.6818181818181818,Lightweight
Allen Berube,4,3,0,172.72,70.31,172.72,Orthodox,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4,50,0.0,0.5714285714285714,Lightweight
Tim Credeur,12,4,0,190.5,83.91,190.5,Orthodox,3.59,30.0,3.13,57.0,0.41,100.0,50.0,3.3,47,0.45999999999999996,0.75,Middleweight
Daisuke Sugie,10,8,1,167.64,72.57,167.64,Orthodox,0.0,0.0,0.22,80.0,3.27,50.0,0.0,3.3,38,-0.22,0.5263157894736842,Lightweight
Herbert Burns,11,4,0,175.26,65.77,185.42,Orthodox,1.61,51.0,4.74,30.0,3.92,75.0,60.0,3.3,37,-3.13,0.7333333333333333,Featherweight
Edwin DeWees,38,17,0,185.42,83.91,185.42,Orthodox,1.53,33.0,6.19,39.0,2.18,66.0,0.0,3.3,42,-4.66,0.6909090909090909,Middleweight
Ricardo Romero,11,3,0,182.88,92.99,193.04,Orthodox,2.17,55.0,4.77,46.0,1.63,10.0,100.0,3.3,47,-2.5999999999999996,0.7857142857142857,Light Heavyweight
Rob Broughton,16,7,1,187.96,120.2,187.96,Orthodox,2.83,60.0,2.54,51.0,0.0,0.0,26.0,3.2,42,0.29000000000000004,0.6666666666666666,Light Heavyweight
Ryuichi Murata,8,3,1,172.72,83.01,172.72,Orthodox,0.84,36.0,1.89,50.0,4.74,50.0,100.0,3.2,38,-1.0499999999999998,0.6666666666666666,Welterweight
Roman Zentsov,18,12,0,185.42,104.33,185.42,Orthodox,1.18,36.0,0.53,70.0,1.6,100.0,33.0,3.2,51,0.6499999999999999,0.6,Light Heavyweight
Dmitry Sosnovskiy,11,0,0,190.5,108.86,195.58,Orthodox,2.95,70.0,2.53,35.0,3.16,66.0,100.0,3.2,35,0.4200000000000004,1.0,Light Heavyweight
Jesse Taylor,31,15,0,182.88,77.11,185.42,Orthodox,1.94,65.0,0.55,38.0,7.28,50.0,100.0,3.1,42,1.39,0.6739130434782609,Welterweight
Alexandre Dantas,0,3,0,187.96,107.95,187.96,Orthodox,0.21,25.0,1.87,60.0,0.0,0.0,0.0,3.1,46,-1.6600000000000001,0.0,Light Heavyweight
Kevin Jousset,9,2,0,187.96,77.11,190.5,Orthodox,6.02,50.0,8.1,33.0,3.11,100.0,0.0,3.1,32,-2.08,0.8181818181818182,Welterweight
Manny Bermudez,14,2,0,177.8,65.77,180.34,Orthodox,2.92,61.0,2.68,46.0,3.06,54.0,0.0,3.1,30,0.23999999999999977,0.875,Featherweight
Eric Lawson,9,5,0,182.88,83.91,182.88,Orthodox,1.58,57.0,1.97,44.0,8.88,42.0,0.0,3.0,38,-0.3899999999999999,0.6428571428571429,Middleweight
